Country,Most Populous City,Most Populous City Population
China,"Shanghai	","22,315,474"
India,Mumbai,"12,691,836"
United States,New York City,"8,175,133"
Indonesia,Jakarta,"8,540,121"
Pakistan,Karachi,"11,624,219"
Brazil,Sao Paulo,"10,021,295"
Nigeria,Lagos,"9,000,000"
Bangladesh,Dhaka,"10,356,500"
Russia,Moscow,"10,381,222"
Mexico,Mexico City,"12,294,193"
Japan,Tokyo,"8,336,599"
Ethiopia,Addis Ababa,"2,757,729"
Philippines,Quezon City,"2,761,720"
Egypt,Cairo,"7,734,614"
Vietnam,Ho Chi Minh City,"3,467,331"
DR Congo,Kinshasa,"7,785,965"
Turkey,Istanbul,"14,804,116"
Iran,Tehran,"7,153,309"
Germany,Berlin,"3,426,354"
Thailand,Bangkok,"5,104,476"
United Kingdom,London,"7,556,900"
France ,Paris,"2,138,551"
Italy,Rome,"2,318,895"
Tanzania,Dar es Salaam,"2,698,652"
South Africa,Cape Town,"3,433,441"
Myanmar,Yangon,"4,477,638"
Kenya,Nairobi,"2,750,547"
South Korea,Seoul,"10,349,312"
Colombia,Bogota,"7,674,366"
Spain,Madrid,"3,255,944"
Uganda,Kampala,"1,353,189"
Argentina,Buenos Aires,"13,076,300"
Algeria,Algiers,"1,977,663"
Sudan,Khartoum,"1,974,647"
Ukraine,Kyiv,"2,797,553"
Iraq,Baghdad,"7,216,000"
Afghanistan,Kabul,"3,043,532"
Poland,Warsaw,"1,702,139"
Canada,Toronto,"2,600,000"
Morocco,Casablanca,"3,144,909"
Saudi Arabia,Riyadh,"4,205,961"
Uzbekistan,Tashkent,"1,978,028"
Peru,Lima,"7,737,002"
Angola,Luanda,"2,776,168"
Malaysia,Kota Bharu,"1,459,994"
Mozambique,Maputo,"1,191,613"
Ghana,Accra,"1,963,264"
Yemen,Sanaa,"1,937,451"
Nepal,Kathmandu,"1,442,271"
Venezuela,Caracas,"3,000,000"
Madagascar,Antananarivo,"1,391,433"
Cameroon,Douala,"1,338,082"
Côte d'Ivoire,Abidjan,"3,677,115"
North Korea,Pyongyang,"3,222,000"
Australia,Sydney,"4,627,345"
Niger ,Niamey,"774,235"
Taiwan,Taipei,"7,871,900"
Sri Lanka,Colombo,"648,034"
Burkina Faso,Ouagadougou,"1,086,505"
Mali,Bamako,"1,297,281"
Romania,Bucharest,"1,877,155"
Malawi,Lilongwe,"646,750"
Chile,Santiago,"4,837,295"
Kazakhstan,Almaty,"2,000,900"
Zambia,Lusaka,"1,267,440"
Guatemala,Guatemala City,"994,938"
Ecuador,Guayaquil,"1,952,029"
Syria,Aleppo,"1,602,264"
Netherlands,Amsterdam,"741,636"
Senegal,Dakar,"2,476,400"
Cambodia,Phnom Penh,"1,573,544"
Chad,N'Djamena,"721,081"
Somalia,Mogadishu,"2,587,183"
Zimbabwe,Harare,"1,542,813"
Guinea,Camayenne,"1,871,242"
Rwanda,Kigali,"745,261"
Benin,Cotonou,"780,000"
Burundi ,Bujumbura,"331,700"
Tunisia,Tunis,"693,210"
Bolivia,Santa Cruz de la Sierra,"1,364,389"
Belgium,Brussels,"1,019,022"
Haiti,Port-au-Prince,"1,234,742"
Cuba,Havana,"2,163,824"
South Sudan,Juba,"450,000"
Dominican Republic,Santo Domingo,"2,201,941"
Czech Republic (Czechia),Prague,"1,165,581"
Greece,Athens,"664,046"
Jordan,Amman,"1,275,857"
Portugal,Lisbon,"517,802"
Azerbaijan,Baku,"1,116,513"
Sweden,Stockholm,"1,515,017"
Honduras,Tegucigalpa,"850,848"
United Arab Emirates,Dubai,"1,137,347"
Hungary,Budapest,"1,741,041"
Tajikistan,Dushanbe,"679,400"
Belarus,Minsk,"1,742,124"
Austria,Vienna,"1,691,468"
Papua New Guinea,Port Moresby,"283,733"
Serbia,Belgrade,"1,273,651"
Israel,Jerusalem,"801,000"
Switzerland,Zurich,"341,730"
Togo,Lome,"749,700"
Sierra Leone,Freetown,"802,639"
Hong Kong,Hong Kong,"7,012,738"
Laos,Vientiane,"196,731"
Paraguay,Asuncion,"1,482,200"
Bulgaria,Sofia,"1,152,556"
Libya,Tripoli,"1,150,989"
Lebanon,Beirut,"1,916,100"
Nicaragua,Managua,"973,087"
Kyrgyzstan,Bishkek,"900,000"
El Salvador,San Salvador,"525,990"
Turkmenistan,Ashgabat,"727,700"
Singapore,Singapore,"3,547,809"
Denmark,Copenhagen,"1,153,615"
Finland,Helsinki,"558,457"
Congo,Brazzaville,"1,284,609"
Slovakia,Bratislava,"423,737"
Norway,Oslo,"580,000"
Oman,Muscat,"797,000"
State of Palestine,East Jerusalem,"428,304"
Costa Rica,San Jose,"335,007"
Liberia,Monrovia,"939,524"
Ireland,Dublin,"1,024,027"
Central African Republic,Bangui,"542,393"
New Zealand,Auckland,"417,910"
Mauritania,Nouakchott,"661,400"
Panama,Panama,"408,168"
Kuwait,Al Ahmadi,"637,411"
Croatia,Zagreb,"698,966"
Moldova,Chisinau,"635,994"
Georgia,Tbilisi,"1,049,498"
Eritrea,Asmara,"563,930"
Uruguay,Montevideo,"1,270,737"
Bosnia and Herzegovina,Sarajevo,"696,731"
Mongolia,Ulan Bator,"844,818"
Armenia,Yerevan,"1,093,485"
Jamaica,Kingston,"937,700"
Qatar,Doha,"344,939"
Albania,Tirana,"374,801"
Puerto Rico,San Juan,"418,140"
Lithuania,Vilnius,"542,366"
Namibia,Windhoek,"268,132"
Gambia,Serekunda,"340,000"
Botswana,Gaborone,"208,411"
Gabon,Libreville,"578,156"
Lesotho,Maseru,"118,355"
North Macedonia,Skopje,"474,889"
Slovenia,Ljubljana,"272,220"
Guinea-Bissau,Bissau,"388,028"
Latvia,Riga,"742,572"
Bahrain,Manama,"147,074"
Equatorial Guinea,Bata,"173,046"
Trinidad and Tobago,Chaguanas,"67,433"
Estonia,Tallinn,"394,024"
Timor-Leste,Dili,"150,000"
Mauritius,Port Louis,"155,226"
Cyprus,Nicosia,"200,452"
Eswatini,Manzini,"110,537"
Djibouti,Djibouti,"623,891"
Fiji,Suva,"77,366"
Réunion,Saint-Denis,"137,195"
Comoros,Moroni,"42,872"
Guyana,Georgetown,"235,017"
Bhutan ,Thimphu,"98,676"
